date,messages
1/24/2021,7697
1/25/2021,9067
1/26/2021,6167
1/27/2021,6671
1/28/2021,5668
1/29/2021,4384
1/30/2021,5652
1/31/2021,5917
2/1/2021,10911
2/2/2021,16774
2/3/2021,9797
2/4/2021,8820
2/5/2021,10164
2/6/2021,8124
2/7/2021,11603
2/8/2021,6705
2/9/2021,6735
2/10/2021,3922
2/11/2021,6822
2/12/2021,8015
2/13/2021,4653
2/14/2021,4508
2/15/2021,5116
2/16/2021,3470
2/17/2021,4443
2/18/2021,4276
2/19/2021,3173
2/20/2021,7411
2/21/2021,7710
2/22/2021,6073
2/23/2021,4741
2/24/2021,3649
2/25/2021,2792
2/26/2021,2613
2/27/2021,4634
2/28/2021,4595
3/1/2021,3206
3/2/2021,4075
3/3/2021,4437
3/4/2021,3392
3/5/2021,3832
3/6/2021,4086
3/7/2021,4187
3/8/2021,8920
3/9/2021,5445
3/10/2021,6311
3/11/2021,6263
3/12/2021,3388
3/13/2021,5059
3/14/2021,4836
3/15/2021,6252
3/16/2021,3608
3/17/2021,3201
3/18/2021,2141
3/19/2021,2179
3/20/2021,2486
3/21/2021,2917
3/22/2021,4206
3/23/2021,2953
3/24/2021,4899
3/25/2021,2623
3/26/2021,5938
3/27/2021,4180
3/28/2021,3957
3/29/2021,4047
3/30/2021,6599
3/31/2021,5776
4/1/2021,7842
4/2/2021,5452
4/3/2021,2823
4/4/2021,4752
4/5/2021,2221
4/6/2021,3097
4/7/2021,1941
4/8/2021,2787
4/9/2021,3044
4/10/2021,4848
4/11/2021,4334
4/12/2021,4481
4/13/2021,3789
4/14/2021,4041
4/15/2021,3940
4/16/2021,2615
4/17/2021,3202
4/18/2021,1949
4/19/2021,8794
4/20/2021,4652
4/21/2021,5001
4/22/2021,4321
4/23/2021,2106
4/24/2021,4668
4/25/2021,5063
4/26/2021,4570
4/27/2021,5229
4/28/2021,4765
4/29/2021,4338
4/30/2021,7478
5/1/2021,4755
5/2/2021,5394
5/3/2021,6675
5/4/2021,9505
5/5/2021,8485
5/6/2021,5503
5/7/2021,4560
5/8/2021,2255
5/9/2021,5097
5/10/2021,6626
5/11/2021,4276
5/12/2021,5127
5/13/2021,6142
5/14/2021,4454
5/15/2021,6250
5/16/2021,8267
5/17/2021,5991
5/18/2021,6865
5/19/2021,6486
5/20/2021,8656
5/21/2021,5318
5/22/2021,4132
